,Name,Title,Body,Stars
0,Michelle M,Best slime ever,"We absolutely loved this slime. It’s super pretty with tons of metallic shine but not glitter that gets everywhere. The slime isn’t all sticky and goopey…it’s more together and so it makes no mess. It’s not super crazy stretchy, but I like that my girls can play with it without getting it all stuck in their hair or my carpet if it drops. The packaging was really on point too, and my girls loved popping open each globe to get their slime. We put them in goodie bags for my 6 year old’s bday, and everyone loved them!",5.0
1,Tison,Broken one but great for party bags,Great for party bags - but make sure to order enough: my set came with a broken  one. I don’t know if it’s easy to clean (asked that I rate that),4.0
2,Customer,Quality texture and consistency for price,"I have purchased these twice now to put in gift bags for my kids birthday parties. You cant go wrong with slime, always a kid fav and these provide good quality and value.",5.0
3,Shelly,Cool party favor,"Yes, I need to get a manicure but, you’re welcome for the picture 😂",4.0
4,CE Brown,Worth the money,My second time purchasing these. Got for my 13yo’s and now for my 5yo’s party. Slime is always a big hit!,5.0
5,Ildiko jolly,Slime,I put these in party gift bags kids love them,5.0
6,Amazon Customer,👌,My kids loved the slime and it's not messy.,5.0
7,Sollie jones,Small,Product is fine. Beware of the size however. It is smaller than it would appear.,3.0
8,Michelle Wasicek,~ Slime is fun~,Very awesome kit I must say and was a nice gift for a child.,5.0
9,Belinda,Great,Product is great,5.0
10,Edward,Good slime,"We bought two boxes of these to give away at a kids party and they worked out perfectly. This is the good slime, the kind that doesn't make a mess but is still slimy.",5.0
11,Brittany,Good buy,Recommending!,5.0
12,Mamaloo,Goodie bag filler,I am not sure about the stretch or scent.They were convenient to put into goodie bags as a favor.,4.0
13,Tara Ramirez,Kid and mom approved,"I bought this for a bday gift for a child w/ sensory issues because of the reviews. They were not wrong. The child loved it, the mom approved. If I could change one thing, I wish it was sold in larger containers. The 24 containers are very small. They ended up opening and placing in one large one.",5.0
14,amanda,Love,I got them to hand out to the kids of parents I don't like for Halloween once this slime dries its never really all coming off I would recommend I buy them all the time for this,5.0
15,Lacey,best slime,"I really appreciate the slime the most because it didn’t stick to my furniture. I don’t know how they did it but it’s the best slime we’ve ever had in our house. Also, it’s really cute colors very futuristic.",5.0
16,Amazon Customer,Haha packaging not labeled,"Decent quality slime but these ones don’t come labeled either, once they’re out the box they’re apparently easily confused for bouncy balls. Smashed casing and upset kids for sure",5.0
17,April,Pretty decent but…,..as I’ve noticed from other reviews one of slime balls was defected. They didn’t really have much stretch either.,3.0
18,Stacey Burns,Some almost dried out,Got this and some of the slime is almost dried out!But I’m not complaining because I throw a lot of slime away! Perfect little doses of slime for younger kids,3.0
19,Mark,Kids loved it!,These were perfect for birthday favor bags and Halloween treats! Great value.,5.0
20,Kristen Williams,Not a fav.,4 out of the pack had separated and were not usable.,3.0
21,eric,Great for kids gift bags,Small for kid's gift bags. Not sticky and easy to clean after.  Looks nice in container however it turns brown once they play with it.,5.0
22,Malaine,Galaxy,Kids love the slime. The colors were lit,5.0
23,Claudiyve,Disappointing but salvagable,"The media could not be loaded.




 I was super disappointed by this slime. It has like no stretch to it. Like as soon as I opened it and tried it the slime broke to pieces in my hand. After a few rubs it softens but still has no real stretch to it so of course it's easy to clean. I was disappointed as planned to use them as stocking stuffers for my nephews. I was able to save it however by getting a Mason jar and putting water in it and leaving three if them in the jar over night. In the morning it was much more slime like. It still breaks apart but has a lot more stretch though also a bit sticky but not too much and still easy to clean.",2.0
24,jbrown46,Wish I had read the reviews,"I ordered these without looking at the reviews super closely, which is my mistake. Our package arrived intact, but out of 24, two are completely liquid and not slime at all. I needed all 24, so now I’m stuck trying to find two replacements. That said, the slime seems perfect for our Star Wars party bags but I can’t comment on the actual slime yet as we haven’t opened any of them.",3.0
25,Nina,Not the stretchy kind,"If you want the kind that can stretch and be folded back together, this is not it. It’s got a jello consistency and doesn’t last for more than a 10 min play time. One of the little containers was extremely watery.",3.0
26,Amazon Customer,Not very stretchy.,"My order arrived in tact with all of the slime balls. They look beautiful! There are 18 galaxy slimes and 6 single color slimes with plastic fruits and beads in them. Super cute!However, I opened one up to try it and the quality of the slime is rather low. I was not impressed. It doesn't stretch very far, instead it just kind of breaks. If you warm it up a bit it stretched a bit more but you have to do it very slowly. The colors also mixed together really quickly.On the bright side, it doesn't seem to stick to anything so it's pretty easy to clean up.Overall, I don't think I would buy these again.",3.0
27,Dree21,Really small but cute favors,I didn’t expect for them toBe so small otherwise they are very cute just really  tiny but I suppose that’s why they are so small because they are only favors,4.0
28,Amazon Customer,Super Tiny,"Super tiny containers, not what I expected.",3.0
29,bettina calzada,Cute,Great quality,5.0
30,Bmore corgis,Good party favor.,"Bought these as party favors and had some left over that my kids glooped all together. Good consistency slime, no scent.",5.0
31,Ikeyla Janee’,"This is NOT sticky, Mom approved!",Gave these out as party favors for my son's 7th birthday ONLY because they were stretchy and beautiful and did NOT stick to my hands or my table. Highly recommend.,5.0
32,Wendy N.,"Super fun, value for money","Took them to my job, nurse on ortho neuro floor. All the employees, and some patients loved them. Great stress reliever but they are difficult to get out  of fabric. Just have to be careful",5.0
33,Pam,Great for Easter Baskets Party Favors Stockings,"Great item that can be used in so many ways! Easter egg hunts, Easter Baskets, Party Favors, and Christmas stockings! Great price on a a lot. Kids love slime.",5.0
34,Sunny,a little smaller than expected,It was used for a grab bag gift,3.0
35,Rebekah,melted,it came with more than half of the slimes melted,3.0
36,Linda Halbert,Stretching abilities,"The media could not be loaded.




 I did like the colors but it clumps instead of stretching",5.0
37,Queen,party favors,i used these as fillers in the goody bags for my daughters birthday. They did help filler the bags and my daughter loved them. I had extras to keep at home for my other kids. I love the value a lot of party favors dont come with 25+. its always 12 or 10 or 20. I always want to avoid having to buy 2 of an item and just use 2 or 3 from the pack. I was glad this came with more than enough,5.0
38,Younglady,"Very Sticky, no easy to clean!!","I bought this for Christmas for my grandson, however I was very disappointed, did not like at all. When we were opening the balls, it was not easy, and the slime was very sticky, had to be very careful to not stick at other things.",3.0
39,KH,This slime was a perfect addition to my daughters kindergarten Valentine’s Day goodie bags!,"The slime was very pretty and kept its galaxy look even after played with.It wasn’t super stretchy but it was jiggly.It didn’t stick to anything,And is the perfect amount for a classroom exchange/goodie bag gift.",5.0
40,Danielle ,Good deal,"This is definitely worth the price for as many slimes as you get and they all came nice and securely packaged so it wasn't a slime cover mess when I opened the box which I was pleasantly surprised about. I bought these to use in goodie bags for my kids birthday party and I'm sure it will be a hit, especially with the galaxy colors. Overall I would recommend for at home play, goodie bags, or even a fun classroom treat.",5.0
41,Amazon Customer,Perfect for a kids' birthday party!,Perfect for a kids' birthday party!,5.0
42,Amy Keating,Slime? Nope. Soup!,"The media could not be loaded.




 SEVERAL of the small jars inside the box were totally liquified and not slime at all.  Very disappointing as I had ordered these for my class and now do not have enough to give one to each student :(",2.0
43,Sam,You have to work them to get the consistency correct.,"I got these for my classroom. I am picky about the slime we bring in... as so much of it sticks to the clothing.This was fun... they loved it... until we opened the balls and they just smashed it into tiny pieces of disappointment. I was sad...But then I just kept mindlessly playing with it and realized you have to really work the stuff together to make it malleable. The colors of course mix together more... which is probably why it's not as processed as it should be, to keep the colors clearer.Anyway, just in case anyone else had that issue.",4.0
44,MLJ ,Some were stretchy and some weren’t,Packaged in the product box. It was pretty small but perfect as party favors. Some of them were stretchy and some were really dry. I’d still prefer them over sticky messy slimes.,3.0
45,LnASmom,Great party favors!,This was a big hit as party favors for ages 5-13 really! Big kids love slime for some reason and are still amused with it and little kids can’t get enough of the stuff. I’m not a big fan of the container because if it breaks the slime willDry up. As a parent I am thrilled with this slime as it doesn’t get stuck on the couch or on walls like other types of slime does!,5.0
46,Brooke B.,Finally a slime that doesn't stick to everything,"Love the texture of this slime. It doesn't stick to your hands or other objects. Purchased these for toddler gift bags and they were a huge hit! Came perfectly packaged and all were very colorful. If the slime comes apart after handling for awhile, just stick it back in the container and it will congeal again after 10 minutes. The colors will eventually run together making a purple/grayish color after playing with it about a dozen times, but that is expected. My toddler still finds it fun to play with.",5.0
47,Jessica,"Not slime, just water like liquid.","The media could not be loaded.




 I purchased this to use as party favors for my son's birthday, but after opening the package I discovered half of the slime containers were just liquid. They had the consistency of water and were completely unusable. I'm not sure if this was a bad batch, or something else happened, but I didn't have enough good ones for all party guests and would not recommend to other buyers.",2.0
48,Alyssa Jade,perfect for a party,this was the perfect party favor for my daughters birthday party!,5.0
49,queenie,Kids love this,Great party favor for a wide range of ages 3-13,5.0
50,Kindle Customer,not slime,This product is not the slime that I was expecting.  It feels like jello and breaks apart into pieces.  my daughter didn't like and neither did I.  It's not worth the price and I would not recommend this product to anyone.,3.0
51,Stezig,"Kids enjoyed, container a little small though","Bought these to stick in kids gift boxes for a birthday party. The containers were a little smaller than I imaged they'd be, but the kids enjoyed them and thats what matters!",4.0
52,Amber Rogers,Very watery,Product was very small and watery.,2.0
53,elsie,Great fun for the littles,"I am using this as part of my daughters birthday goodie bags to her friends. I love the small individual containers. Perfect for what I need. The colors are amazing, very cool to look at and touch. One negative thing i just say is when I pulled the slime apart just playing with it, small peices started clinging to my hands. And everywhere else. Washed right off though. Will be a hit at her birthday im sure.",4.0
54,Alaina Masterson,Great party favor !,"Such an awesome party favor! The little slime balls also had little ducks, pearls and cute things inside the slime! Totally worth it! My son was very happy!",5.0
55,Maile,"Not really slime, but kids liked it!","This product is not very slime like, but the kids still liked it. It’s more like a squishy moldable play gel. If you try to stretch it, it breaks apart rather than stretch. Overall, nice product. The colors are super cool. But if your looking for good slime, this is not the stuff.",4.0
56,DS,Party goody,I had a kids outdoor movie night. This was put in the goody bags. I just thought they were a little bigger. Other than that they were a good buy,4.0
57,Teddie Melson,Little slime,It is a Galaxy looking slime that does not get mixed up.  But maintained its colors.,5.0
58,Tinker Belle,Love it,Perfect party favor,5.0
59,Sue,Not bad minus strong smell,"There were a hit as party favors. There is a strong, overwhelming anatomy lab, embalming smell. Being in science I am somewhat used to it, but if you are not into strong chemical smells this might not be the product for you.",4.0
60,Amazon Customer,Galaxy Slime Balls,"Got these as party favors for my daughters 3rd bday party unicorn theme and they came in a box wrapped individually and the varieties was awesome! They were perfect fit with the other party favors and the kids LOVED IT!!! The only reason why I didn't give 5 stars is cuz it is messy and hard to get out of hair, carpet which happened! UGH but honestly is there a slime that isn't messy??? HAHA great though!",4.0
